Model,Epochs,NumConvLayers,Optimizer,LR,Step,WeightDecay,TrainAcc,TestAcc
FlexibleConvLayer,100,2,Adam,0.001,5,0,76.71,73.93
FlexibleConvLayer,100,2,Adam,0.001,5,0.3,75.366,75.1
FlexibleConvLayer,30,13,Adam,0.0001,15,0,89.874,73.57
FlexibleConvLayer,30,13,Adam,0.0001,15,0.3,84.576,80.74
FlexibleConvLayer,30,13,Adam,0.0001,5,0,75.492,67.9
FlexibleConvLayer,30,13,Adam,0.0001,5,0.3,76.568,71.27
FlexibleConvLayer,30,13,Adam,0.001,15,0,89.964,86.36
FlexibleConvLayer,30,13,Adam,0.001,15,0.3,21.09,23.32
FlexibleConvLayer,30,13,Adam,0.001,5,0,78.846,78.69
FlexibleConvLayer,30,13,Adam,0.001,5,0.3,49.922,52.34
FlexibleConvLayer,30,13,Adam,1e-05,15,0,74.224,57.89
FlexibleConvLayer,30,13,Adam,1e-05,15,0.3,76.628,58.61
FlexibleConvLayer,30,13,Adam,1e-05,5,0,58.142,53.58
FlexibleConvLayer,30,13,Adam,1e-05,5,0.3,55.282,51.37
FlexibleConvLayer,30,13,AdamW,0.0001,15,0.01,90.03,74.38
FlexibleConvLayer,30,13,AdamW,0.0001,15,0.3,90.102,74.1
FlexibleConvLayer,30,13,AdamW,0.0001,5,0.01,76.038,68.25
FlexibleConvLayer,30,13,AdamW,0.0001,5,0.3,76.242,68.54
FlexibleConvLayer,30,13,AdamW,0.001,15,0.01,90.06,85.89
FlexibleConvLayer,30,13,AdamW,0.001,15,0.3,90.404,86.05
FlexibleConvLayer,30,13,AdamW,0.001,5,0.01,78.966,79.75
FlexibleConvLayer,30,13,AdamW,0.001,5,0.3,77.756,79.09
FlexibleConvLayer,30,13,AdamW,1e-05,15,0.01,75.616,58.32
FlexibleConvLayer,30,13,AdamW,1e-05,15,0.3,74.762,58.48
FlexibleConvLayer,30,13,AdamW,1e-05,5,0.01,58.836,53.34
FlexibleConvLayer,30,13,AdamW,1e-05,5,0.3,57.768,52.08
FlexibleConvLayer,30,13,SGD,0.0001,15,0,58.32,55.59
FlexibleConvLayer,30,13,SGD,0.0001,5,0,46.198,46.98
FlexibleConvLayer,30,13,SGD,0.001,15,0,84.54,70.58
FlexibleConvLayer,30,13,SGD,0.001,5,0,67.378,63.67
FlexibleConvLayer,30,13,SGD,1e-05,15,0,35.536,36.19
FlexibleConvLayer,30,13,SGD,1e-05,5,0,25.566,26.19
FlexibleConvLayer,30,5,Adam,0.0001,15,0,88.318,75.57
FlexibleConvLayer,30,5,Adam,0.0001,15,0.3,85.728,81.3
FlexibleConvLayer,30,5,Adam,0.0001,5,0,74.79,71.06
FlexibleConvLayer,30,5,Adam,0.0001,5,0.3,76.618,72.97
FlexibleConvLayer,30,5,Adam,0.001,15,0,92.51,85.17
FlexibleConvLayer,30,5,Adam,0.001,15,0.3,77.9,81.56
FlexibleConvLayer,30,5,Adam,0.001,5,0,83.17,81.67
FlexibleConvLayer,30,5,Adam,0.001,5,0,83.428,80.91
FlexibleConvLayer,30,5,Adam,0.001,5,0.3,84.806,84.42
FlexibleConvLayer,30,5,Adam,1e-05,15,0,64.818,62.63
FlexibleConvLayer,30,5,Adam,1e-05,15,0.3,63.846,62.76
FlexibleConvLayer,30,5,Adam,1e-05,5,0,53.45,54.88
FlexibleConvLayer,30,5,Adam,1e-05,5,0.3,48.718,50.16
FlexibleConvLayer,30,5,AdamW,0.0001,15,0.01,88.796,75.57
FlexibleConvLayer,30,5,AdamW,0.0001,15,0.3,88.446,77.4
FlexibleConvLayer,30,5,AdamW,0.0001,5,0.01,74.084,71.12
FlexibleConvLayer,30,5,AdamW,0.0001,5,0.3,74.84,71.08
FlexibleConvLayer,30,5,AdamW,0.001,15,0.01,92.668,84.72
FlexibleConvLayer,30,5,AdamW,0.001,15,0.3,92.624,85.35
FlexibleConvLayer,30,5,AdamW,0.001,5,0.01,83.228,81.08
FlexibleConvLayer,30,5,AdamW,0.001,5,0.3,83.52,81.74
FlexibleConvLayer,30,5,AdamW,1e-05,15,0.01,64.796,63.47
FlexibleConvLayer,30,5,AdamW,1e-05,15,0.3,64.522,63.22
FlexibleConvLayer,30,5,AdamW,1e-05,5,0.01,52.772,54.43
FlexibleConvLayer,30,5,AdamW,1e-05,5,0.3,52.958,54.37
FlexibleConvLayer,30,5,SGD,0.0001,15,0,50.482,52.35
FlexibleConvLayer,30,5,SGD,0.0001,5,0,41.168,43.4
FlexibleConvLayer,30,5,SGD,0.001,15,0,73.696,70.98
FlexibleConvLayer,30,5,SGD,0.001,5,0,60.412,61.74
FlexibleConvLayer,30,5,SGD,1e-05,15,0,28.998,30.64
FlexibleConvLayer,30,5,SGD,1e-05,5,0,20.776,21.83
FlexibleConvLayer,30,7,Adam,0.0001,15,0,85.416,74.01
FlexibleConvLayer,30,7,Adam,0.0001,15,0.3,86.86,82.78
FlexibleConvLayer,30,7,Adam,0.0001,5,0,70.704,68.12
FlexibleConvLayer,30,7,Adam,0.0001,5,0.3,74.264,72.7
FlexibleConvLayer,30,7,Adam,0.001,15,0,91.54,86.1
FlexibleConvLayer,30,7,Adam,0.001,15,0.3,74.98,78.12
FlexibleConvLayer,30,7,Adam,0.001,5,0,82.952,82.6
FlexibleConvLayer,30,7,Adam,0.001,5,0.3,84.498,85.18
FlexibleConvLayer,30,7,Adam,1e-05,15,0,58.532,58.48
FlexibleConvLayer,30,7,Adam,1e-05,15,0.3,54.96,56.34
FlexibleConvLayer,30,7,Adam,1e-05,5,0,48.01,49.97
FlexibleConvLayer,30,7,Adam,1e-05,5,0.3,41.888,43.79
FlexibleConvLayer,30,7,AdamW,0.0001,15,0.01,85.898,74.83
FlexibleConvLayer,30,7,AdamW,0.0001,15,0.3,86.156,75.06
FlexibleConvLayer,30,7,AdamW,0.0001,5,0.01,71.118,68.33
FlexibleConvLayer,30,7,AdamW,0.0001,5,0.3,70.368,67.86
FlexibleConvLayer,30,7,AdamW,0.001,15,0.01,91.462,86.28
FlexibleConvLayer,30,7,AdamW,0.001,15,0.3,91.644,86.42
FlexibleConvLayer,30,7,AdamW,0.001,5,0.01,82.78,81.94
FlexibleConvLayer,30,7,AdamW,0.001,5,0.3,83.054,82.35
FlexibleConvLayer,30,7,AdamW,1e-05,15,0.01,59.132,58.42
FlexibleConvLayer,30,7,AdamW,1e-05,15,0.3,58.63,58.45
FlexibleConvLayer,30,7,AdamW,1e-05,5,0.01,47.912,50.06
FlexibleConvLayer,30,7,AdamW,1e-05,5,0.3,47.694,49.31
FlexibleConvLayer,30,7,SGD,0.0001,15,0,50.098,52.55
FlexibleConvLayer,30,7,SGD,0.0001,5,0,39.912,42.34
FlexibleConvLayer,30,7,SGD,0.001,15,0,73.144,72.3
FlexibleConvLayer,30,7,SGD,0.001,5,0,59.65,61.21
FlexibleConvLayer,30,7,SGD,1e-05,15,0,29.84,30.83
FlexibleConvLayer,30,7,SGD,1e-05,5,0,18.93,19.75
FlexibleConvLayer,30,9,Adam,0.0001,15,0,87.576,74.42
FlexibleConvLayer,30,9,Adam,0.0001,15,0.3,85.778,81.43
FlexibleConvLayer,30,9,Adam,0.0001,5,0,72.98,68.3
FlexibleConvLayer,30,9,Adam,0.0001,5,0.3,76.624,71.13
FlexibleConvLayer,30,9,Adam,0.001,15,0,91.802,86.65
FlexibleConvLayer,30,9,Adam,0.001,15,0.3,61.85,65.96
FlexibleConvLayer,30,9,Adam,0.001,5,0,82.412,81.93
FlexibleConvLayer,30,9,Adam,0.001,5,0.3,80.64,82.32
FlexibleConvLayer,30,9,Adam,1e-05,15,0,62.424,59.24
FlexibleConvLayer,30,9,Adam,1e-05,15,0.3,60.742,59.19
FlexibleConvLayer,30,9,Adam,1e-05,5,0,50.524,52.07
FlexibleConvLayer,30,9,Adam,1e-05,5,0.3,46.054,47.41
FlexibleConvLayer,30,9,AdamW,0.0001,15,0.01,88.23,74.86
FlexibleConvLayer,30,9,AdamW,0.0001,15,0.3,87.924,74.56
FlexibleConvLayer,30,9,AdamW,0.0001,5,0.01,72.668,68.04
FlexibleConvLayer,30,9,AdamW,0.0001,5,0.3,72.752,68.68
FlexibleConvLayer,30,9,AdamW,0.001,15,0.01,92.03,85.7
FlexibleConvLayer,30,9,AdamW,0.001,15,0.3,91.99,86.78
FlexibleConvLayer,30,9,AdamW,0.001,5,0.01,82.79,82.51
FlexibleConvLayer,30,9,AdamW,0.001,5,0.3,83.536,82.33
FlexibleConvLayer,30,9,AdamW,1e-05,15,0.01,63.364,59.74
FlexibleConvLayer,30,9,AdamW,1e-05,15,0.3,63.488,60.16
FlexibleConvLayer,30,9,AdamW,1e-05,5,0.01,50.846,51.16
FlexibleConvLayer,30,9,AdamW,1e-05,5,0.3,50.678,51.63
FlexibleConvLayer,30,9,SGD,0.0001,15,0,52.994,53.79
FlexibleConvLayer,30,9,SGD,0.0001,5,0,41.93,43.6
FlexibleConvLayer,30,9,SGD,0.001,15,0,77.476,72.32
FlexibleConvLayer,30,9,SGD,0.001,5,0,62.084,62.7
FlexibleConvLayer,30,9,SGD,1e-05,15,0,32.028,33.6
FlexibleConvLayer,30,9,SGD,1e-05,5,0,20.72,21.54
FlexibleResNet,100,2,Adam,0.0001,15,0,87.464,82.44
FlexibleResNet,100,2,Adam,0.0001,15,0.3,93.932,90.53
FlexibleResNet,100,2,Adam,0.0001,5,0,73.7,74.5
FlexibleResNet,100,2,Adam,0.0001,5,0.3,79.818,79.19
FlexibleResNet,100,2,Adam,0.001,15,0,79.954,79.54
FlexibleResNet,100,2,Adam,0.001,15,0.3,91.842,90.56
FlexibleResNet,100,2,Adam,0.001,5,0,53.806,56.39
FlexibleResNet,100,2,Adam,0.001,5,0.3,79.122,80.92
FlexibleResNet,100,2,Adam,1e-05,15,0,68.128,68.41
FlexibleResNet,100,2,Adam,1e-05,15,0.3,65.9,66.68
FlexibleResNet,100,2,Adam,1e-05,5,0,56.658,58.44
FlexibleResNet,100,2,Adam,1e-05,5,0.3,52.868,55.37
FlexibleResNet,100,2,AdamW,0.0001,15,0.01,87.928,83.34
FlexibleResNet,100,2,AdamW,0.0001,15,0.3,87.564,82.77
FlexibleResNet,100,2,AdamW,0.0001,5,0.01,73.238,74.15
FlexibleResNet,100,2,AdamW,0.0001,5,0.3,73.718,74.29
FlexibleResNet,100,2,AdamW,0.001,15,0.01,84.31,82.76
FlexibleResNet,100,2,AdamW,0.001,15,0.3,84.28,82.46
FlexibleResNet,100,2,AdamW,0.001,5,0.01,57.084,60.07
FlexibleResNet,100,2,AdamW,0.001,5,0.3,53.352,55.99
FlexibleResNet,100,2,AdamW,1e-05,15,0.01,68.208,69.14
FlexibleResNet,100,2,AdamW,1e-05,15,0.3,68.362,68.84
FlexibleResNet,100,2,AdamW,1e-05,5,0.01,56.814,58.6
FlexibleResNet,100,2,AdamW,1e-05,5,0.3,56.19,58.29
FlexibleResNet,100,2,SGD,0.0001,15,0,63.102,63.8
FlexibleResNet,100,2,SGD,0.0001,5,0,53.53,55.85
FlexibleResNet,100,2,SGD,0.001,15,0,76.766,75.25
FlexibleResNet,100,2,SGD,0.001,5,0,60.67,63.27
FlexibleResNet,100,2,SGD,1e-05,15,0,44.396,47.18
FlexibleResNet,100,2,SGD,1e-05,5,0,35.944,39.16
FlexibleResNet,100,3,Adam,0.0001,15,0,91.974,85.56
FlexibleResNet,100,3,Adam,0.0001,15,0.3,95.374,92.15
FlexibleResNet,100,3,Adam,0.0001,5,0,74.314,74.74
FlexibleResNet,100,3,Adam,0.0001,5,0.3,85.982,84.71
FlexibleResNet,100,3,Adam,0.001,15,0,64.778,66.29
FlexibleResNet,100,3,Adam,0.001,15,0.3,92.732,89.77
FlexibleResNet,100,3,Adam,0.001,5,0,43.924,46.04
FlexibleResNet,100,3,Adam,0.001,5,0.3,67.988,69.26
FlexibleResNet,100,3,Adam,1e-05,5,0,60.818,61.44
FlexibleResNet,100,3,Adam,1e-05,5,0.3,56.802,57.63
FlexibleResNet,100,3,AdamW,0.0001,15,0.01,92.426,86.03
FlexibleResNet,100,3,AdamW,0.0001,15,0.3,92.742,85.84
FlexibleResNet,100,3,AdamW,0.0001,5,0.01,73.984,74.63
FlexibleResNet,100,3,AdamW,0.0001,5,0.3,75.43,75.21
FlexibleResNet,100,3,AdamW,0.001,15,0.01,76.296,76.72
FlexibleResNet,100,3,AdamW,0.001,15,0.3,73.964,74.27
FlexibleResNet,100,3,AdamW,0.001,5,0.01,43.314,45.32
FlexibleResNet,100,3,AdamW,0.001,5,0.3,40.146,42.02
FlexibleResNet,100,3,SGD,0.0001,15,0,67.06,65.34
FlexibleResNet,100,3,SGD,0.0001,5,0,55.978,57.48
FlexibleResNet,100,3,SGD,0.001,15,0,68.342,69.92
FlexibleResNet,100,3,SGD,0.001,5,0,47.684,50.47
FlexibleResNet,100,4,Adam,0.0001,15,0.3,95.444,92.44
FlexibleResNet,100,5,Adam,0.0001,15,0.3,92.562,89.56
FlexibleResNet,100,5,Adam,0.0001,5,0,51.652,53.86
FlexibleResNet,100,5,Adam,0.0001,5,0.3,66.212,68.44
FlexibleResNet,100,5,Adam,0.001,15,0,53.22,56.97
FlexibleResNet,100,5,Adam,0.001,15,0.3,93.91,89.77
FlexibleResNet,100,5,Adam,0.001,5,0,31.308,32.91
FlexibleResNet,100,5,Adam,0.001,5,0.3,39.708,41.61
FlexibleResNet,100,5,AdamW,0.0001,5,0.01,57.49,59.22
FlexibleResNet,100,5,AdamW,0.001,15,0.01,46.594,49.25
FlexibleResNet,100,5,AdamW,0.001,15,0.3,55.632,58.43
FlexibleResNet,100,5,AdamW,0.001,5,0.01,28.676,30.1
FlexibleResNet,100,5,AdamW,0.001,5,0.3,30.434,32.16
FlexibleResNet,100,5,SGD,0.001,15,0,71.222,70.53
FlexibleResNet,100,5,SGD,0.001,5,0,42.436,44.49
FlexibleResNet,30,4,Adam,0.0001,15,0.3,90.466,89.94
FlexibleResNet,30,5,Adam,0.0001,15,0.3,85.1,86.16
